Episode, Tick, Reward, Total Reward
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,-1,-1
0,10,0,-1
0,11,0,-1
0,12,0,-1
0,13,0,-1
0,14,0,-1
0,15,0,-1
0,16,0,-1
0,17,0,-1
0,18,0,-1
0,19,0,-1
0,20,0,-1
0,21,0,-1
0,22,0,-1
0,23,0,-1
0,24,0,-1
0,25,0,-1
0,26,0,-1
0,27,0,-1
0,28,0,-1
0,29,-1,-2
0,30,0,-2
0,31,-1,-3
0,32,0,-3
0,33,0,-3
0,34,0,-3
0,35,0,-3
0,36,0,-3
0,37,-2,-5
0,38,0,-5
0,39,0,-5
0,40,0,-5
0,41,0,-5
0,42,0,-5
0,43,0,-5
0,44,0,-5
0,45,0,-5
0,46,0,-5
0,47,0,-5
0,48,0,-5
0,49,0,-5
0,50,0,-5
0,51,-1,-6
0,52,0,-6
0,53,0,-6
0,54,0,-6
0,55,0,-6
0,56,0,-6
0,57,0,-6
0,58,0,-6
0,59,0,-6
0,60,0,-6
0,61,0,-6
0,62,0,-6
0,63,0,-6
0,64,0,-6
0,65,0,-6
0,66,0,-6
0,67,0,-6
0,68,0,-6
0,69,0,-6
0,70,0,-6
0,71,0,-6
0,72,0,-6
0,73,0,-6
0,74,0,-6
0,75,0,-6
0,76,0,-6
0,77,-3,-9
0,78,0,-9
0,79,0,-9
0,80,0,-9
0,81,0,-9
0,82,0,-9
0,83,0,-9
0,84,0,-9
0,85,0,-9
0,86,0,-9
0,87,0,-9
0,88,0,-9
0,89,0,-9
0,90,-1,-10
0,91,0,-10
0,92,0,-10
0,93,0,-10
0,94,0,-10
0,95,0,-10
0,96,0,-10
0,97,0,-10
0,98,0,-10
0,99,0,-10
0,100,0,-10
0,101,0,-10
0,102,0,-10
0,103,0,-10
0,104,0,-10
0,105,0,-10
0,106,0,-10
0,107,0,-10
0,108,0,-10
0,109,0,-10
0,110,-1,-11
0,111,0,-11
0,112,0,-11
0,113,0,-11
0,114,0,-11
0,115,0,-11
0,116,0,-11
0,117,0,-11
0,118,0,-11
0,119,0,-11
0,120,0,-11
0,121,0,-11
0,122,0,-11
0,123,-3,-14
0,124,0,-14
0,125,0,-14
0,126,0,-14
0,127,0,-14
0,128,0,-14
0,129,0,-14
0,130,0,-14
0,131,0,-14
0,132,0,-14
0,133,0,-14
0,134,0,-14
0,135,0,-14
0,136,0,-14
0,137,0,-14
0,138,0,-14
0,139,0,-14
0,140,0,-14
0,141,0,-14
0,142,0,-14
0,143,0,-14
0,144,0,-14
0,145,0,-14
0,146,0,-14
0,147,0,-14
0,148,0,-14
0,149,0,-14
0,150,0,-14
0,151,0,-14
0,152,0,-14
0,153,0,-14
0,154,-3,-17
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,-1,-1
1,19,0,-1
1,20,0,-1
1,21,0,-1
1,22,0,-1
1,23,0,-1
1,24,0,-1
1,25,0,-1
1,26,0,-1
1,27,0,-1
1,28,-1,-2
1,29,0,-2
1,30,0,-2
1,31,0,-2
1,32,0,-2
1,33,0,-2
1,34,-1,-3
1,35,0,-3
1,36,0,-3
1,37,0,-3
1,38,0,-3
1,39,0,-3
1,40,0,-3
1,41,0,-3
1,42,0,-3
1,43,0,-3
1,44,0,-3
1,45,-1,-4
1,46,0,-4
1,47,0,-4
1,48,0,-4
1,49,-1,-5
1,50,0,-5
1,51,0,-5
1,52,0,-5
1,53,0,-5
1,54,0,-5
1,55,-4,-9
1,56,0,-9
1,57,0,-9
1,58,0,-9
1,59,0,-9
1,60,0,-9
1,61,0,-9
1,62,0,-9
1,63,0,-9
1,64,0,-9
1,65,0,-9
1,66,0,-9
1,67,0,-9
1,68,0,-9
1,69,-2,-11
1,70,0,-11
1,71,0,-11
1,72,0,-11
1,73,0,-11
1,74,0,-11
1,75,0,-11
1,76,0,-11
1,77,0,-11
1,78,0,-11
1,79,0,-11
1,80,0,-11
1,81,-4,-15
1,82,0,-15
1,83,0,-15
1,84,0,-15
1,85,0,-15
1,86,0,-15
1,87,0,-15
1,88,-3,-18
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
2,13,0,0
2,14,-1,-1
2,15,0,-1
2,16,0,-1
2,17,0,-1
2,18,0,-1
2,19,0,-1
2,20,0,-1
2,21,0,-1
2,22,0,-1
2,23,0,-1
2,24,0,-1
2,25,-1,-2
2,26,0,-2
2,27,0,-2
2,28,0,-2
2,29,0,-2
2,30,0,-2
2,31,0,-2
2,32,0,-2
2,33,0,-2
2,34,0,-2
2,35,0,-2
2,36,0,-2
2,37,0,-2
2,38,0,-2
2,39,0,-2
2,40,0,-2
2,41,0,-2
2,42,0,-2
2,43,0,-2
2,44,0,-2
2,45,0,-2
2,46,0,-2
2,47,-2,-4
2,48,0,-4
2,49,0,-4
2,50,0,-4
2,51,0,-4
2,52,0,-4
2,53,0,-4
2,54,0,-4
2,55,0,-4
2,56,0,-4
2,57,0,-4
2,58,0,-4
2,59,0,-4
2,60,0,-4
2,61,0,-4
2,62,-2,-6
2,63,0,-6
2,64,0,-6
2,65,0,-6
2,66,0,-6
2,67,0,-6
2,68,0,-6
2,69,0,-6
2,70,0,-6
2,71,0,-6
2,72,-3,-9
2,73,0,-9
2,74,0,-9
2,75,0,-9
2,76,0,-9
2,77,0,-9
2,78,0,-9
2,79,0,-9
2,80,0,-9
2,81,0,-9
2,82,0,-9
2,83,0,-9
2,84,0,-9
2,85,0,-9
2,86,0,-9
2,87,0,-9
2,88,-4,-13
2,89,0,-13
2,90,0,-13
2,91,0,-13
2,92,0,-13
2,93,0,-13
2,94,0,-13
2,95,0,-13
2,96,0,-13
2,97,0,-13
2,98,0,-13
2,99,0,-13
2,100,0,-13
2,101,0,-13
2,102,0,-13
2,103,0,-13
2,104,0,-13
2,105,0,-13
2,106,-4,-17
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
3,15,0,0
3,16,0,0
3,17,0,0
3,18,0,0
3,19,0,0
3,20,0,0
3,21,-2,-2
3,22,0,-2
3,23,0,-2
3,24,0,-2
3,25,0,-2
3,26,0,-2
3,27,-4,-6
3,28,0,-6
3,29,0,-6
3,30,0,-6
3,31,0,-6
3,32,0,-6
3,33,0,-6
3,34,0,-6
3,35,0,-6
3,36,-1,-7
3,37,0,-7
3,38,0,-7
3,39,0,-7
3,40,0,-7
3,41,-3,-10
3,42,0,-10
3,43,0,-10
3,44,0,-10
3,45,0,-10
3,46,0,-10
3,47,0,-10
3,48,-1,-11
3,49,0,-11
3,50,0,-11
3,51,0,-11
3,52,0,-11
3,53,0,-11
3,54,0,-11
3,55,0,-11
3,56,0,-11
3,57,0,-11
3,58,0,-11
3,59,0,-11
3,60,0,-11
3,61,0,-11
3,62,0,-11
3,63,0,-11
3,64,0,-11
3,65,-4,-15
3,66,0,-15
3,67,0,-15
3,68,0,-15
3,69,0,-15
3,70,0,-15
3,71,0,-15
3,72,0,-15
3,73,0,-15
3,74,0,-15
3,75,0,-15
